sim,initial_timestep,final_timestep,initial_cell_count,final_cell_count,last_alive_timestep,num_apoptosis,num_extrusion,JobID,JobName,State,ExitCode,Timelimit,Start,End,Elapsed,initial-b-ratio,random-labelling,cell-a-target-area,cell-b-target-area,cell-a-elasticity-parameter,cell-b-elasticity-parameter,cell-a-contractility-parameter,cell-b-contractility-parameter,cell-a-line-tension-parameter,cell-b-line-tension-parameter,cell-a-g1-duration,cell-b-g1-duration,cell-a-g2-duration,cell-b-g2-duration,cell-ab-line-tension-parameter,seed,simulation-id,initial_cell_count_0,final_cell_count_0,last_alive_timestep_0,num_apoptosis_0,num_extrusion_0,initial_cell_count_1,final_cell_count_1,last_alive_timestep_1,num_apoptosis_1,num_extrusion_1
002809,0,250,36,0,70,0,88,3423861_2809,mechanica+,COMPLETED,0:0,01:00:00,2023-09-04T05:56:30,2023-09-04T05:57:05,00:00:35,0.5,true,0.5097470865947237,0.5097470865947237,0.5097470865947237,0.5097470865947237,0.010584825195683422,0.010584825195683422,0.06116965039136684,0.06116965039136684,0.584825195683421,0.584825195683421,40.58482519568342,40.58482519568342,0.06116965039136684,00002809,002809,18,0,70,0,43,18,0,70,0,45
002810,0,250,36,0,66,0,82,3423861_2810,mechanica+,COMPLETED,0:0,01:00:00,2023-09-04T05:56:30,2023-09-04T05:57:10,00:00:40,0.5,true,0.5286150111230256,0.5128623281809757,0.5286150111230256,0.5286150111230256,0.011716900667381534,0.011716900667381534,0.06343380133476306,0.06343380133476306,1.7169006673815341,1.7169006673815341,41.71690066738154,41.71690066738154,0.06343380133476306,00002810,002810,18,0,66,0,40,18,0,65,0,42
002811,0,250,36,0,67,0,81,3423861_2811,mechanica+,COMPLETED,0:0,01:00:00,2023-09-04T05:56:30,2023-09-04T05:57:04,00:00:34,0.5,true,0.5474829356513274,0.5034384521140067,0.5474829356513274,0.5474829356513274,0.012848976139079649,0.012848976139079649,0.06569795227815929,0.06569795227815929,2.8489761390796473,2.8489761390796473,42.848976139079646,42.848976139079646,0.06569795227815929,00002811,002811,18,0,67,0,40,18,0,66,0,41
002812,0,250,36,0,69,0,81,3423861_2812,mechanica+,COMPLETED,0:0,01:00:00,2023-09-04T05:56:30,2023-09-04T05:57:13,00:00:43,0.5,true,0.5663508601796293,0.5062324668362522,0.5663508601796293,0.5663508601796293,0.01398105161077776,0.01398105161077776,0.06796210322155552,0.06796210322155552,3.9810516107777603,3.9810516107777603,43.98105161077776,43.98105161077776,0.06796210322155552,00002812,002812,18,0,69,0,41,18,0,68,0,40
002813,0,250,36,0,65,0,75,3423861_2813,mechanica+,COMPLETED,0:0,01:00:00,2023-09-04T05:56:30,2023-09-04T05:57:04,00:00:34,0.5,true,0.5852187847079312,0.5045463231052741,0.5852187847079312,0.5852187847079312,0.015113127082475874,0.015113127082475874,0.07022625416495175,0.07022625416495175,5.113127082475873,5.113127082475873,45.11312708247587,45.11312708247587,0.07022625416495175,00002813,002813,18,0,65,0,40,18,0,61,0,35
002814,0,250,36,0,71,0,80,3423861_2814,mechanica+,COMPLETED,0:0,01:00:00,2023-09-04T05:56:30,2023-09-04T05:57:12,00:00:42,0.5,true,0.6040867092362331,0.5147906363712388,0.6040867092362331,0.6040867092362331,0.016245202554173988,0.016245202554173988,0.07249040510834798,0.07249040510834798,6.245202554173987,6.245202554173987,46.245202554173986,46.245202554173986,0.07249040510834798,00002814,002814,18,0,71,0,44,18,0,71,0,36
002815,0,250,36,0,67,0,71,3423861_2815,mechanica+,COMPLETED,0:0,01:00:00,2023-09-04T05:56:30,2023-09-04T05:57:04,00:00:34,0.5,true,0.622954633764535,0.516315086376234,0.622954633764535,0.622954633764535,0.0173772780258721,0.0173772780258721,0.07475455605174419,0.07475455605174419,7.3772780258721,7.3772780258721,47.3772780258721,47.3772780258721,0.07475455605174419,00002815,002815,18,0,67,0,37,18,0,67,0,34
002816,0,250,36,0,71,0,71,3423861_2816,mechanica+,COMPLETED,0:0,01:00:00,2023-09-04T05:56:30,2023-09-04T05:57:15,00:00:45,0.5,true,0.6418225582928369,0.5048609440673886,0.6418225582928369,0.6418225582928369,0.018509353497570213,0.018509353497570213,0.07701870699514042,0.07701870699514042,8.509353497570213,8.509353497570213,48.50935349757022,48.50935349757022,0.07701870699514042,00002816,002816,18,0,71,0,37,18,0,70,0,34
002817,0,250,36,0,73,0,71,3423861_2817,mechanica+,COMPLETED,0:0,01:00:00,2023-09-04T05:56:30,2023-09-04T05:57:20,00:00:50,0.5,true,0.6606904828211387,0.5118749726110641,0.6606904828211387,0.6606904828211387,0.019641428969268328,0.019641428969268328,0.07928285793853665,0.07928285793853665,9.641428969268325,9.641428969268325,49.641428969268325,49.641428969268325,0.07928285793853665,00002817,002817,18,0,73,0,38,18,0,73,0,33
002818,0,250,36,0,81,0,76,3423861_2818,mechanica+,COMPLETED,0:0,01:00:00,2023-09-04T05:56:30,2023-09-04T05:57:07,00:00:37,0.5,true,0.6795584073494406,0.5088014643007525,0.6795584073494406,0.6795584073494406,0.020773504440966442,0.020773504440966442,0.08154700888193288,0.08154700888193288,10.77350444096644,10.77350444096644,50.77350444096644,50.77350444096644,0.08154700888193288,00002818,002818,18,0,81,0,39,18,0,76,0,37
