simulation_id,average_time_in_G1,effective_g1_sample_size,eta,final_cell_count,final_timestep,num_deaths,num_divisions,seed,status
34,16.048787425016087,206,0.4,0,472.5057136053032,135,71,68,1
35,16.242741723990612,250,0.4,0,668.267463663711,157,93,70,1
36,16.40129494922513,200,0.4,0,441.04975976313807,132,68,72,1
37,16.160336584114923,196,0.4,0,383.72201168747915,130,66,74,1
38,15.83755546822022,290,0.4,0,862.5520909987991,177,113,76,1
39,16.671258866372057,172,0.4,0,600.1837292404348,118,54,78,1
40,16.500796294490588,206,0.4,0,640.788812621898,135,71,80,1
41,16.26703864573099,216,0.4,0,614.3453235451634,140,76,82,1
42,16.415561592472127,228,0.4,0,442.5048407595586,146,82,84,1
43,16.47345767094885,226,0.4,0,468.2394428614031,145,81,86,1
44,15.668513262910377,260,0.4,0,587.4795242099004,162,98,88,1
45,16.802310916146936,164,0.4,0,773.5847932198251,114,50,90,1
