,t,G1_cell_count,G2_cell_count
0,0.0,49,51
1,0.01745522219952278,51,50
2,0.20806546196675413,50,51
3,0.7248807854231352,49,52
4,0.9606440068645057,48,53
5,0.9648348899141581,47,54
6,1.0365229589832339,49,53
7,1.0422420269153883,48,54
8,1.3605334025729405,50,53
9,1.7029238127978203,52,52
10,2.2246676358613655,51,53
11,2.747458506969963,53,52
12,3.8962864217401147,55,51
13,4.154932498927337,57,50
14,4.188709121434229,56,51
15,4.354341682441444,58,50
16,5.742822920862611,57,51
17,5.902494035918593,56,52
18,6.204726985259613,55,53
19,6.5885964960639,57,52
20,7.056936938885411,56,53
21,7.554452138832524,58,52
22,7.590712203821369,60,51
23,9.296013162306636,59,52
24,9.542491019822329,58,53
25,10.032928462053363,60,52
26,10.240156409473023,22,51
27,10.252851116527221,20,51
28,10.969885184599084,19,51
29,11.197702723570174,21,50
30,11.24425295401673,23,49
31,11.398807438908648,25,48
32,11.462983469746163,23,48
33,12.239419887174197,21,48
34,13.053172993469719,19,48
35,13.177463818476227,21,47
36,13.189596629700462,20,48
37,13.226898448144949,18,48
38,13.356388613806566,17,48
39,13.619049267121625,19,47
40,13.828067089519166,21,46
41,14.727649250668392,23,45
42,14.856937675603097,21,45
43,15.118098117929303,20,46
44,15.299634617240265,22,45
45,15.534848146300005,21,45
46,15.559834694651135,19,45
47,15.641679389115414,18,46
48,15.650528009446672,17,47
49,16.575074904385687,16,48
50,16.722459962939325,18,47
51,17.098973204381686,16,47
52,17.133284166092018,18,46
53,17.15541291876535,20,45
54,17.23351046132568,18,45
55,17.955575308163063,20,44
56,18.014704542597517,22,43
57,18.264250556684182,20,43
58,18.41804568446068,19,43
59,18.992552267793247,18,44
60,19.034441734985787,20,43
61,19.058706207795638,22,42
62,19.754629769017242,24,41
63,19.772558975023543,26,40
64,20.280446095472364,24,40
65,20.796815774233437,22,40
66,21.027298119161802,20,40
67,21.37593684345146,22,39
68,21.800660932252672,21,40
69,21.93136437404573,23,39
70,21.974236400092778,22,39
71,22.580854513626946,21,40
72,22.583568167772892,19,40
73,24.09827781953975,17,40
74,24.521794387519286,16,40
75,24.544010952703225,14,40
76,24.920320777566246,13,41
77,25.301641873390125,12,41
78,25.354018059370006,11,41
79,25.563513603048264,13,40
80,25.705007985862864,15,39
81,26.292443237766793,13,39
82,26.31444985020352,12,39
83,26.560198383864318,14,38
84,26.773821604423638,13,39
85,26.921714989840403,11,39
86,26.93614598938634,9,39
87,28.125728853272456,8,40
88,28.173669101167448,7,40
89,28.5913563295877,5,40
90,29.355212637272572,7,39
91,29.46263717843287,9,38
92,31.22816028579664,11,37
93,31.64675510446588,10,37
94,31.782071977843664,8,37
95,32.544076010256994,6,37
96,33.17768511670394,8,36
97,33.43541150765075,10,35
98,33.533027856057885,12,34
99,35.54171314211937,10,34
100,35.65945886468527,8,34
101,36.42610743427909,10,33
102,37.473203401597715,8,33
103,38.98538727207324,10,32
104,39.48479007853862,8,32
105,39.58243143954034,10,31
106,39.75747007623871,8,31
107,39.85265317255945,6,31
108,40.29353420152911,8,30
109,42.596024954034206,6,30
110,43.04914719650027,8,29
111,45.13699756018638,6,29
112,45.68790751933119,4,29
113,45.958528717846455,6,28
114,46.36831965716927,4,28
115,48.39119077026325,6,27
116,48.76177336474644,8,26
117,48.9083522962711,6,26
118,49.78166075777324,8,25
119,49.79531089742348,10,24
120,49.92538347374634,9,25
121,50.208065461966754,11,24
122,50.72488078542314,13,23
123,50.960644006864506,15,22
124,50.96483488991416,17,21
125,51.04224202691539,19,20
126,51.7580307396107,18,21
127,52.224667635861366,20,20
128,52.506074136135716,18,20
129,54.18870912143423,20,19
130,55.74282292086261,22,18
131,55.90249403591859,24,17
132,56.20472698525961,26,16
133,56.93780213462364,24,16
134,57.056936938885414,26,15
135,57.20874710469463,25,16
136,57.53275787405183,24,17
137,57.60266040546289,23,18
138,57.70835274144315,21,18
