sim,initial_timestep,final_timestep,initial_cell_count,final_cell_count,last_alive_timestep,num_apoptosis,num_extrusion,JobID,JobName,State,ExitCode,Timelimit,Start,End,Elapsed,initial-b-ratio,random-labelling,cell-a-target-area,cell-b-target-area,cell-a-elasticity-parameter,cell-b-elasticity-parameter,cell-a-contractility-parameter,cell-b-contractility-parameter,cell-a-line-tension-parameter,cell-b-line-tension-parameter,cell-a-g1-duration,cell-b-g1-duration,cell-a-g2-duration,cell-b-g2-duration,cell-ab-line-tension-parameter,seed,simulation-id,initial_cell_count_0,final_cell_count_0,last_alive_timestep_0,num_apoptosis_0,num_extrusion_0,initial_cell_count_1,final_cell_count_1,last_alive_timestep_1,num_apoptosis_1,num_extrusion_1
000400,0,250,36,98,250,0,77,3466044_400,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T20:53:44,2023-09-12T20:56:59,00:03:15,0.5,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001600,000400,18,7,250,0,77,18,91,250,0,0
000401,0,250,36,104,250,0,80,3466044_401,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T20:53:44,2023-09-12T20:57:11,00:03:27,0.5,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001601,000401,18,7,250,0,80,18,97,250,0,0
000402,0,250,36,110,250,0,82,3466044_402,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T20:53:44,2023-09-12T20:57:19,00:03:35,0.5,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001602,000402,18,11,250,0,82,18,99,250,0,0
000403,0,250,36,136,250,0,89,3466044_403,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T20:53:44,2023-09-12T20:57:59,00:04:15,0.5,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001603,000403,18,24,250,0,89,18,112,250,0,0
000404,0,250,36,103,250,0,83,3466044_404,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T20:53:44,2023-09-12T20:57:13,00:03:29,0.5,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001604,000404,18,8,250,0,83,18,95,250,0,0
000405,0,250,36,127,250,0,62,3466044_405,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T20:53:44,2023-09-12T20:57:23,00:03:39,0.5,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001605,000405,18,16,250,0,62,18,111,250,0,0
000406,0,250,36,103,250,0,75,3466044_406,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T20:53:44,2023-09-12T20:57:10,00:03:26,0.5,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001606,000406,18,16,250,0,75,18,87,250,0,0
000407,0,250,36,116,250,0,70,3466044_407,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T20:53:44,2023-09-12T20:57:17,00:03:33,0.5,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001607,000407,18,16,250,0,70,18,100,250,0,0
000408,0,250,36,117,250,0,71,3466044_408,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T20:53:44,2023-09-12T20:57:18,00:03:34,0.5,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001608,000408,18,18,250,0,71,18,99,250,0,0
000409,0,250,36,121,250,0,76,3466044_409,mechanica+,COMPLETED,0:0,01:00:00,2023-09-12T20:53:44,2023-09-12T20:57:33,00:03:49,0.5,false,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00001609,000409,18,23,250,0,76,18,98,250,0,0
