sim,initial_timestep,final_timestep,initial_cell_count,final_cell_count,last_alive_timestep,num_apoptosis,num_extrusion,JobID,JobName,State,ExitCode,Timelimit,Start,End,Elapsed,initial-b-ratio,random-labelling,cell-a-target-area,cell-b-target-area,cell-a-elasticity-parameter,cell-b-elasticity-parameter,cell-a-contractility-parameter,cell-b-contractility-parameter,cell-a-line-tension-parameter,cell-b-line-tension-parameter,cell-a-g1-duration,cell-b-g1-duration,cell-a-g2-duration,cell-b-g2-duration,cell-ab-line-tension-parameter,seed,simulation-id
000000,0,250,36,29,250,0,178,3435245_0,mechanica+,COMPLETED,0:0,01:00:00,2023-09-05T19:59:25,2023-09-05T20:01:24,00:01:59,0.0,true,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00000000,000000
000001,0,250,36,16,250,0,182,3435245_1,mechanica+,COMPLETED,0:0,01:00:00,2023-09-05T19:59:25,2023-09-05T20:01:23,00:01:58,0.0,true,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00000001,000001
000002,0,250,36,15,250,0,169,3435245_2,mechanica+,COMPLETED,0:0,01:00:00,2023-09-05T19:59:25,2023-09-05T20:01:17,00:01:52,0.0,true,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00000002,000002
000003,0,250,36,40,250,0,153,3435245_3,mechanica+,COMPLETED,0:0,01:00:00,2023-09-05T19:59:25,2023-09-05T20:01:20,00:01:55,0.0,true,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00000003,000003
000004,0,250,36,42,250,0,148,3435245_4,mechanica+,COMPLETED,0:0,01:00:00,2023-09-05T19:59:25,2023-09-05T20:01:24,00:01:59,0.0,true,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00000004,000004
000005,0,250,36,52,250,0,182,3435245_5,mechanica+,COMPLETED,0:0,01:00:00,2023-09-05T19:59:25,2023-09-05T20:01:32,00:02:07,0.0,true,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00000005,000005
000006,0,250,36,17,250,0,181,3435245_6,mechanica+,COMPLETED,0:0,01:00:00,2023-09-05T19:59:25,2023-09-05T20:01:17,00:01:52,0.0,true,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00000006,000006
000007,0,250,36,44,250,0,152,3435245_7,mechanica+,COMPLETED,0:0,01:00:00,2023-09-05T19:59:25,2023-09-05T20:01:20,00:01:55,0.0,true,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00000007,000007
000008,0,250,36,34,250,0,170,3435245_8,mechanica+,COMPLETED,0:0,01:00:00,2023-09-05T19:59:25,2023-09-05T20:01:24,00:01:59,0.0,true,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00000008,000008
000009,0,250,36,0,247,0,166,3435245_9,mechanica+,COMPLETED,0:0,01:00:00,2023-09-05T19:59:25,2023-09-05T20:01:12,00:01:47,0.0,true,0.7040030418009942,0.8262182761904469,1.0247577587821262,1.3455124757632584,0.019976031564663425,0.039221314583531355,0.15693319520479854,0.0754237612425344,26.957163640135125,46.20244665900305,45.447729677870974,64.69301269673889,0.14787659143121365,00000009,000009
